date,항구,total_weight,total_amount,trade_count,price_per_kg,region_id,weather_region,wind_speed,water_temp,month,weekday,season_peak
2023-01-02,통영,2103,13405000,45,6374.227294341417,1,통영,6.3,11.7,1,0,0
2023-01-03,통영,6660,47312000,75,7103.9039039039035,1,통영,7.7,12.3,1,1,0
2023-01-04,통영,1070,8447000,20,7894.392523364486,1,통영,6.7,12.8,1,2,0
2023-01-05,통영,9440,69255000,66,7336.3347457627115,1,통영,6.0,13.1,1,3,0
2023-01-06,통영,8655,59849000,58,6914.9624494511845,1,통영,4.7,12.1,1,4,0
2023-01-07,통영,18615,116603000,104,6263.92694063927,1,통영,10.0,11.9,1,5,0
2023-01-08,통영,320,1685000,11,5265.625,1,통영,5.0,13.4,1,6,0
2023-01-09,통영,12100,81954000,37,6773.05785123967,1,통영,4.6,13.3,1,0,0
2023-01-10,통영,13280,87637000,72,6599.171686746988,1,통영,5.5,12.7,1,1,0
2023-01-11,통영,9980,62720000,68,6284.5691382765535,1,통영,2.0,13.0,1,2,0
2023-01-12,통영,5360,40449000,29,7546.455223880597,1,통영,4.2,13.1,1,3,0
2023-01-13,통영,1300,4576000,28,3520.0,1,통영,8.2,13.8,1,4,0
2023-01-14,통영,13300,91170000,119,6854.887218045113,1,통영,7.8,12.8,1,5,0
2023-01-16,통영,5900,39861000,39,6756.1016949152545,1,통영,8.4,12.9,1,0,0
2023-01-20,통영,3,40000,1,13333.333333333334,1,통영,9.6,12.5,1,4,0
2023-01-25,통영,240,742000,9,3091.6666666666665,1,통영,6.0,11.3,1,2,0
2023-01-26,통영,6000,48556000,37,8092.666666666667,1,통영,4.0,13.8,1,3,0
2023-01-27,통영,600,1826000,23,3043.3333333333335,1,통영,11.9,13.8,1,4,0
2023-01-28,통영,22800,165083000,140,7240.482456140351,1,통영,9.0,14.4,1,5,0
2023-01-30,통영,1540,11440000,35,7428.571428571428,1,통영,7.8,13.5,1,0,0
2023-01-31,통영,3220,25415000,47,7892.857142857143,1,통영,2.9,14.1,1,1,0
2023-02-01,통영,8220,58443000,86,7109.85401459854,1,통영,7.8,13.5,2,2,0
2023-02-02,통영,9740,76535000,85,7857.802874743326,1,통영,5.5,13.3,2,3,0
2023-02-03,통영,1460,11361000,13,7781.506849315068,1,통영,5.4,14.2,2,4,0
2023-02-04,통영,19370,153393000,83,7919.101703665462,1,통영,5.7,13.3,2,5,0
2023-02-06,통영,31480,228771000,75,7267.185514612453,1,통영,4.2,12.7,2,0,0
2023-02-07,통영,4660,30004000,46,6438.62660944206,1,통영,6.1,13.0,2,1,0
2023-02-08,통영,17740,125554000,66,7077.4520856820745,1,통영,5.3,13.4,2,2,0
2023-02-09,통영,8580,64717000,43,7542.773892773893,1,통영,9.6,13.7,2,3,0
2023-02-10,통영,12160,86187000,51,7087.746710526316,1,통영,8.2,14.8,2,4,0
2023-02-11,통영,8040,56530000,40,7031.094527363184,1,통영,4.6,14.9,2,5,0
2023-02-12,통영,4100,32950000,22,8036.585365853659,1,통영,6.6,14.7,2,6,0
2023-02-13,통영,9120,63857000,65,7001.8640350877195,1,통영,8.0,14.1,2,0,0
2023-02-14,통영,8000,59346000,39,7418.25,1,통영,5.0,13.9,2,1,0
2023-02-15,통영,8000,57508000,50,7188.5,1,통영,11.9,13.7,2,2,0
2023-02-16,통영,320,1875000,14,5859.375,1,통영,4.2,13.9,2,3,0
2023-02-18,통영,15220,105375000,84,6923.455978975033,1,통영,3.9,14.7,2,5,0
2023-02-20,통영,11900,86182000,62,7242.18487394958,1,통영,7.9,14.5,2,0,0
2023-02-21,통영,1980,13743000,27,6940.909090909091,1,통영,7.2,13.7,2,1,0
2023-02-22,통영,1000,5720000,27,5720.0,1,통영,4.2,13.7,2,2,0
2023-03-02,통영,5580,39291000,46,7041.397849462365,1,통영,7.2,12.0,3,3,0
2023-03-03,통영,520,3466000,16,6665.384615384615,1,통영,4.5,11.9,3,4,0
2023-03-04,통영,780,5084000,24,6517.948717948718,1,통영,4.5,12.6,3,5,0
2023-03-06,통영,8080,59518000,58,7366.089108910891,1,통영,5.6,12.7,3,0,0
2023-03-07,통영,3660,22718000,43,6207.103825136612,1,통영,4.4,12.8,3,1,0
2023-03-08,통영,2600,15782000,33,6070.0,1,통영,4.8,15.4,3,2,0
2023-03-09,통영,4100,29075000,34,7091.463414634146,1,통영,4.8,15.3,3,3,0
2023-03-10,통영,6860,46786000,29,6820.116618075802,1,통영,3.1,14.9,3,4,0
2023-03-11,통영,2240,15003000,20,6697.767857142857,1,통영,1.5,15.2,3,5,0
2023-03-12,통영,6780,52537000,57,7748.82005899705,1,통영,7.6,14.1,3,6,0
2023-03-13,통영,2140,14542000,28,6795.327102803738,1,통영,6.5,12.9,3,0,0
2023-03-14,통영,200,1281000,5,6405.0,1,통영,3.7,12.4,3,1,0
2023-03-15,통영,1920,14378000,24,7488.541666666667,1,통영,4.1,13.4,3,2,0
2023-03-16,통영,17360,130143000,77,7496.716589861751,1,통영,5.6,13.6,3,3,0
2023-03-17,통영,660,4276000,22,6478.787878787879,1,통영,8.9,15.2,3,4,0
2023-03-18,통영,18360,119218000,94,6493.355119825708,1,통영,5.6,16.0,3,5,0
2023-03-20,통영,4540,33944000,45,7476.651982378855,1,통영,2.0,15.8,3,0,0
2023-03-21,통영,13560,99495000,74,7337.3893805309735,1,통영,6.4,15.6,3,1,0
2023-03-22,통영,17360,117474000,95,6766.935483870968,1,통영,7.6,15.3,3,2,0
2023-03-23,통영,3780,24954000,29,6601.587301587301,1,통영,4.9,15.1,3,3,0
2023-03-24,통영,4120,25346000,63,6151.941747572816,1,통영,10.0,15.1,3,4,0
